zipFile,entryPath,entryType,reason,compressedBytes,uncompressedBytes,recommendation
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Local Storage/leveldb/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Local Storage/leveldb/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Login Data For Account-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Login Data-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network/Cookies-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network/Device Bound Sessions-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network/NetworkDataMigrated,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network/Reporting and NEL-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network/Trust Tokens-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Network Action Predictor-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/optimization_guide_hint_cache_store/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/optimization_guide_hint_cache_store/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/optimization_guide_hint_cache_store/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/parcel_tracking_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/parcel_tracking_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/parcel_tracking_db/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/PersistentOriginTrials/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/PersistentOriginTrials/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/PersistentOriginTrials/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Safe Browsing Network/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Safe Browsing Network/NetworkDataMigrated,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Safe Browsing Network/Safe Browsing Cookies-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SegmentInfoDB/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SegmentInfoDB/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SegmentInfoDB/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SignalDB/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SignalDB/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SignalDB/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SignalStorageConfigDB/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SignalStorageConfigDB/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Segmentation Platform/SignalStorageConfigDB/LOG,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/ServerCertificate-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Service Worker/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Service Worker/Database/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Service Worker/Database/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Session Storage/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Session Storage/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Shared Dictionary/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Shared Dictionary/db-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/shared_proto_db/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/shared_proto_db/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/shared_proto_db/metadata/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/shared_proto_db/metadata/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Shortcuts-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Site Characteristics Database/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Site Characteristics Database/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Sync Data/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Sync Data/LevelDB/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Sync Data/LevelDB/LOCK,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Top Sites-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/Default/Web Data-journal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/segmentation_platform/,directory,browser_profile_or_cache,0,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux/screenshots/cdp-profile/segmentation_platform/ukm_db-wal,file,browser_profile_or_cache,2,0,exclude_from_future_zip
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux-screenshots.zip,file,nested_zip,937822,937813,remove_from_extracted_copy
C:\Users\rossm\Documents\German Learning\German Learning Folder.zip,_development-files/Kasuskonsole Versions/v30-flush-canvas-ux.zip,file,nested_zip,988842,988963,remove_from_extracted_copy
