itemId,sourceFile,contentBankKey,routeKey,moduleKey,categoryId,taskType,answerMode,responseSurface,status,reviewOnly,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,v02ApplyGateStatus,productionFlag,quarantineFlag,sourceRowId,targetFamily,reviewGroup,targetId,variantFamilyId,supportPolicy,evidenceType,sourceCleanupBatch,feedbackCleanupBatch,missingMetadataFields,metadataRiskLevel,recommendedManifestAction
b1_connector_011,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil_wordorder,connectors_reason_weil_sibling_11,reason_weil_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_012,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_reason_weil,reason_weil_wordorder,connectors_reason_weil_sibling_12,reason_weil_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_013,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_denn,connectors_reason_weil_contrast_13,reason_denn,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_014,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_denn,connectors_reason_weil_contrast_14,reason_denn,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_015,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_denn,connectors_reason_weil_contrast_15,reason_denn,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_016,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_denn,connectors_reason_weil_contrast_16,reason_denn,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_017,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_deshalb,connectors_reason_weil_contrast_17,reason_deshalb,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_018,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_deshalb,connectors_reason_weil_contrast_18,reason_deshalb,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_019,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_deshalb,connectors_reason_weil_contrast_19,reason_deshalb,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_020,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_reason_weil,reason_deshalb,connectors_reason_weil_contrast_20,reason_deshalb,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_021,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_21,contrast_obwohl,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_022,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_22,contrast_obwohl,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_023,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_23,contrast_obwohl,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_024,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_24,contrast_obwohl,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_025,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_25,contrast_obwohl,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_026,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_26,contrast_obwohl,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_027,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_obwohl,connectors_contrast_obwohl_sibling_27,contrast_obwohl,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_028,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_28,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_029,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_29,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_030,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_30,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_031,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_31,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_032,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_32,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_033,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_33,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_034,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_trotzdem,connectors_contrast_obwohl_contrast_34,contrast_trotzdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_035,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_wordorder,connectors_contrast_obwohl_sibling_35,contrast_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_036,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_wordorder,connectors_contrast_obwohl_sibling_36,contrast_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_037,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_wordorder,connectors_contrast_obwohl_sibling_37,contrast_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_038,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_wordorder,connectors_contrast_obwohl_sibling_38,contrast_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_039,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_choice_pair,connectors_contrast_obwohl_contrast_39,contrast_choice_pair,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_040,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_contrast_obwohl,contrast_choice_pair,connectors_contrast_obwohl_contrast_40,contrast_choice_pair,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_041,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_recognition_41,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_042,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_42,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_043,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_43,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_044,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_44,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_045,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_45,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_046,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_46,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_047,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,review,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_47,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_048,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_damit,connectors_purpose_damit_sibling_48,purpose_damit,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_049,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_49,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_050,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_50,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_051,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_51,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_052,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_52,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_053,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_53,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_054,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_54,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_055,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_55,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_056,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_umzu,connectors_purpose_damit_contrast_56,purpose_umzu,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_057,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_wordorder,connectors_purpose_damit_sibling_57,purpose_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_058,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_wordorder,connectors_purpose_damit_sibling_58,purpose_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_059,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_wordorder,connectors_purpose_damit_sibling_59,purpose_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_060,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_purpose_damit,purpose_wordorder,connectors_purpose_damit_sibling_60,purpose_wordorder,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_061,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_base_61,time_wenn,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_062,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_sibling_62,time_wenn,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_063,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_sibling_63,time_wenn,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_064,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_sibling_64,time_wenn,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_065,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_sibling_65,time_wenn,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_066,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_sibling_66,time_wenn,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_067,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_wenn,connectors_time_wenn_sibling_67,time_wenn,hidden,auto_core,,,,low,MANIFEST_SAFE
